"Date","Price","Open","High","Low","Vol.","Change %"
"06/21/2023","0.000004","0.000003","0.000004","0.000002","2.21B","0.00%"
"06/20/2023","0.000003","0.000004","0.000005","0.000003","2.00B","-23.15%"
"06/19/2023","0.000004","0.000009","0.000010","0.000003","3.19B","-52.58%"
"06/18/2023","0.000009","0.000009","0.000010","0.000009","252.98M","0.00%"
"06/17/2023","0.000009","0.000007","0.000010","0.000007","1.11B","40.51%"
"06/16/2023","0.000007","0.000015","0.000015","0.000006","2.19B","-55.04%"
"06/15/2023","0.000015","0.000015","0.000016","0.000013","141.40M","0.00%"
"06/14/2023","0.000015","0.000018","0.000018","0.000015","162.72M","-16.19%"
"06/13/2023","0.000018","0.000019","0.000019","0.000018","12.02M","-6.15%"
"06/12/2023","0.000019","0.000019","0.000019","0.000019","","0.00%"
"06/11/2023","0.000019","0.000019","0.000019","0.000019","","0.00%"
"06/10/2023","0.000019","0.000020","0.000021","0.000019","82.56M","-4.35%"
"06/09/2023","0.000020","0.000020","0.000021","0.000020","32.28M","0.00%"
"06/08/2023","0.000020","0.000022","0.000022","0.000020","4.18B","-6.21%"
"06/07/2023","0.000022","0.000022","0.000022","0.000022","","0.00%"
"06/06/2023","0.000022","0.000022","0.000022","0.000022","","-3.82%"
"06/05/2023","0.000022","0.000023","0.000023","0.000022","8.27B","0.00%"
"06/04/2023","0.000023","0.000022","0.000023","0.000022","9.40B","2.50%"
"06/03/2023","0.000022","0.000022","0.000023","0.000022","9.52B","0.00%"
"06/02/2023","0.000022","0.000022","0.000022","0.000022","","0.00%"
"06/01/2023","0.000022","0.000022","0.000022","0.000022","","-2.37%"
"05/31/2023","0.000022","0.000023","0.000023","0.000022","9.15B","0.00%"
"05/30/2023","0.000023","0.000022","0.000023","0.000021","9.50B","4.12%"
"05/29/2023","0.000022","0.000022","0.000022","0.000021","9.78B","0.00%"
"05/28/2023","0.000022","0.000022","0.000025","0.000020","9.75B","-3.76%"
"05/27/2023","0.000022","0.000022","0.000023","0.000021","9.03B","2.90%"
"05/26/2023","0.000022","0.000022","0.000022","0.000021","9.08B","0.00%"
"05/25/2023","0.000022","0.000023","0.000023","0.000021","9.21B","-3.82%"
"05/24/2023","0.000023","0.000023","0.000024","0.000022","8.85B","-4.21%"
"05/23/2023","0.000023","0.000024","0.000024","0.000023","8.75B","-4.12%"
